trial,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
10.0,0.000263313,0.065944157,0.001370193,0.000591409,0.00059354,0.001418092,0.005082521,1.684914981,1.878871662,1.855629166,1.799552724,2.123073488,2.08408363,2.397380018,2.248336205,1.985810783,2.185853796,2.434949423,2.422767297,2.495484117,2.542163478,2.722457571,2.456363246,2.883935184,2.833123598,0.012587213,0.014860384,2.974594078,2.761046247,3.09408744,2.935407272,3.202809505,3.077422674,3.756339191,3.181988586,3.267101574,4.106326136,4.032702681,4.122587411,0.012904537,3.670997861,4.158174536,3.720512055,4.350840084,4.340763384,4.137547859,0.020474477,3.933291008,4.677515058,4.786451438
11.0,0.000545654,0.090168519,0.001588561,0.002278165,0.002456479,0.003363901,0.00264344,0.003640347,0.00270667,0.011089897,0.003283814,0.005829837,0.00445146,0.00228768,0.001986868,0.003120879,0.00217711,0.00196795,0.002526111,0.004545977,0.014584396,0.014309131,0.002566549,0.002648909,0.006276665,0.015276057,0.006377376,0.002877938,0.003287199,0.005104755,0.002056615,0.002501222,0.002637421,0.003030325,0.010740858,0.002375754,0.21990113,0.003774769,0.005287366,0.003723403,0.014030707,0.00251153,0.00598426,0.005708022,0.008768869,0.009572642,0.009684227,0.004725002,0.005671257,0.016994771
12.0,0.000268403,0.00058177,0.000968935,0.001709348,0.001807995,0.000794795,0.001497518,0.001535269,0.001290951,0.001036557,0.00120881,0.001911935,0.00156768,0.002175959,0.001344888,0.003318006,0.001558059,0.169956882,0.001173027,0.001573216,0.001162512,0.203437431,0.001682778,0.00289937,0.001898979,0.002473607,0.004240532,0.007895084,0.005025952,0.003085282,0.002653958,0.002365968,0.003463913,0.001984052,0.002933106,0.007069114,0.013855847,0.007780518,0.004375711,0.010731518,0.012126349,0.004518927,0.003627057,0.003470012,0.006949703,0.004101552,0.296867541,0.013652955,0.016361735,0.006349882
13.0,0.000266428,0.000582428,0.000976556,0.001430887,0.003118335,0.00100417,0.001007578,0.00074755,0.001371795,0.001166267,0.00143365,0.0027228,0.002855882,0.001515167,0.001226889,0.00180939,0.002383796,0.00181759,0.001465714,0.001849762,0.002101085,0.002127415,0.0039539,0.010922143,0.002459546,0.002386112,0.001913005,0.001272079,0.003429213,0.00280017,0.00385867,0.003263207,0.002702722,0.002306561,0.017747899,0.00322919,0.002984629,0.012860562,0.007579687,0.006661198,0.03546433,0.016815265,0.034047507,0.004747723,0.004289769,0.005721299,0.005458978,0.009667336,0.004318234,0.003114866
14.0,0.000960581,0.190895435,0.001642958,0.001370846,0.003231323,0.001474115,0.000890484,0.002564779,0.001346371,0.009570977,0.001494018,0.002419905,0.000860096,0.001535955,0.00083433,0.000833283,0.000875748,0.000979431,0.001934984,0.006626423,0.012829888,0.003815611,0.00111934,0.00107089,0.004891877,0.005776024,0.011055643,0.004233602,0.007117536,0.005705389,0.034789795,0.004893518,0.005201735,0.029895242,0.014033674,0.009629199,0.0177225,0.010836026,0.003068445,0.010179631,0.013120002,0.009048058,0.019089311,0.005421496,0.00994926,0.009869131,0.012042682,0.008830182,0.009396047,0.015448221
15.0,0.000278989,0.000572105,0.049026709,0.064588074,0.055021589,0.054345656,0.061603769,0.060192928,0.071397889,0.063537827,0.051336121,0.043190999,0.06439999,0.045385612,0.045523768,0.040520372,0.0498869,0.038056524,0.065672555,0.082746814,0.091131301,0.046143676,0.045664044,0.032457553,0.248694293,0.062504989,0.155284998,0.100885443,0.073218074,3.299896297,2.957303988,3.106232775,3.707360331,3.286821837,4.165693379,4.906752927,3.982640272,3.726192248,1.319129526,0.312440789,0.707512018,0.202865871,0.31005158,0.284189524,0.218321466,0.388815571,0.256765562,0.290047844,0.761788446,0.133040957
16.0,0.000264173,0.074029714,0.004588599,0.005799625,0.002876625,0.004649195,0.003002282,0.003683195,0.012079883,0.005113746,0.002811109,0.012546276,0.003663161,0.013634012,0.003553706,0.023220438,0.003011302,0.002814067,0.004258012,0.003316714,0.003383642,0.003336022,0.002937704,0.003890499,0.002741431,0.003577136,0.004131943,0.005262731,0.003569411,0.005314409,0.005818491,0.00493535,0.013639773,0.005523008,0.004700932,0.005604058,0.006978396,0.006436354,0.005333612,0.006209626,0.005080216,0.005883401,0.007717002,0.007957414,0.010291006,0.015035446,0.008006817,0.012333516,0.014107265,0.007185999
17.0,0.000579019,0.001427531,0.006585104,0.008406499,0.006344215,0.01004765,0.010864412,0.002791392,0.003202872,0.004484534,0.002663725,0.002573274,0.004051097,0.004881217,0.002251321,0.003024667,0.004102819,0.004474105,0.004356614,0.004921582,0.019602844,0.007710972,0.027631149,0.009442656,0.016735091,0.006152269,0.019725368,0.060425481,0.028018962,0.024938251,0.02031515,0.026922872,0.018692319,0.025590973,0.020839434,0.176167974,0.043021726,0.039229371,0.038563529,0.035782382,0.034593406,0.028233189,0.037174675,0.055728407,0.058309042,0.095256882,0.052132793,0.094188629,0.087936554,0.087530702
18.0,0.000269748,0.000572072,0.045433346,0.045257967,0.050940485,0.063309614,0.056225713,0.076717842,0.06609956,0.083267593,0.074136181,0.089161674,0.104451578,0.08631754,0.081812772,0.076441347,0.10931107,0.122265025,0.112327677,0.056017895,0.106134663,0.100918321,0.079342616,0.118472642,0.071806014,0.099273048,0.116811683,0.114035699,0.12844404,0.111420442,0.121641698,0.106216593,0.130226593,0.123052241,0.124380131,0.085402242,0.123910839,0.065775737,0.094205249,0.096143512,0.09334634,0.080697754,0.078285804,0.087565719,0.095518095,0.159348472,0.129242663,0.112503988,0.106442981,0.136729432
19.0,0.0002651,0.000558997,0.00096476,0.000863758,0.001900355,0.001899831,0.000999813,0.001236908,0.001042787,0.000605838,0.001579179,0.001404692,0.001367129,0.00137731,0.001535567,0.001234025,0.001391241,0.00133821,0.0016265,0.002633073,0.003027435,0.00357726,0.001893371,0.165474979,0.00339827,0.003876123,0.0041904,0.011919569,0.030732539,0.002874955,0.001708961,0.002646069,0.002666486,0.01507307,0.00437833,0.00840887,0.006890443,0.014652439,0.004387605,0.004814651,0.002868334,0.003019336,0.003474449,0.003132307,0.013086237,0.003383246,0.281931131,0.00760685,0.004789719,0.004099025
