trial,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
42.0,4.1e-7,3.55e-7,4.75e-7,2.8e-7,7.33e-7,3.87e-7,3.11e-7,2.5e-7,6.34e-7,3.88e-7,2.4e-7,4.46e-7,5.8e-7,4.09e-7,4.48e-7
43.0,5.22e-7,5.13e-7,5.04e-7,3.6e-7,3.64e-7,4.67e-7,3.54e-7,5.4e-7,4.08e-7,6.71e-7,2.51e-7,3.59e-7,2.68e-7,5.35e-7,5.18e-7
44.0,5.36e-7,5.28e-7,2.58e-7,2.82e-7,5.81e-7,2.33e-7,3.81e-7,4.04e-7,2.52e-7,7.68e-7,4.37e-7,4.77e-7,4.54e-7,3.29e-7,4.81e-7
45.0,4.16e-7,4.14e-7,3.94e-7,4.83e-7,5.06e-7,5.15e-7,4.3e-7,4.66e-7,4.76e-7,4.91e-7,5.4e-7,6.23e-7,6.81e-7,7.42e-7,4.16e-7
46.0,3.53e-7,5.68e-7,4.64e-7,2.62e-7,3.47e-7,3.76e-7,5.1e-7,5.83e-7,2.61e-7,7.11e-7,6.66e-7,3.39e-7,4.33e-7,4.28e-7,4.91e-7
47.0,5.14e-7,3.61e-7,4.15e-7,3.82e-7,5.4e-7,3.96e-7,5.15e-7,7.16e-7,4.48e-7,2.54e-7,3.32e-7,4.16e-7,5.2e-7,5.31e-7,9.08e-7
48.0,4.06e-7,7.48e-7,2.53e-7,3.87e-7,3.09e-7,5.04e-7,2.97e-7,7.26e-7,4.56e-7,5.12e-7,4.87e-7,4.69e-7,4.0e-7,5.46e-7,5.17e-7
49.0,7.25e-7,5.55e-7,2.97e-7,6.09e-7,4.23e-7,3.15e-7,5.17e-7,4.4e-7,4.55e-7,8.05e-7,6.16e-7,4.42e-7,3.9e-7,2.83e-7,4.79e-7
50.0,7.72e-7,5.6e-7,4.1e-7,5.29e-7,3.37e-7,2.92e-7,2.53e-7,3.8e-7,4.15e-7,4.17e-7,4.53e-7,4.96e-7,4.87e-7,2.96e-7,5.94e-7
51.0,4.8e-7,5.14e-7,5.4e-7,3.63e-7,4.9e-7,3.77e-7,8.53e-7,3.14e-7,7.34e-7,7.23e-7,2.73e-7,4.43e-7,5.87e-7,3.77e-7,8.0e-7
52.0,4.97e-7,4.2e-7,4.36e-7,4.6e-7,4.13e-7,3.97e-7,2.58e-7,2.46e-7,4.81e-7,4.65e-7,8.66e-7,2.58e-7,2.92e-7,3.37e-7,5.18e-7
53.0,2.39e-7,4.76e-7,5.12e-7,4.81e-7,3.71e-7,2.91e-7,4.6e-7,5.93e-7,9.5e-7,5.24e-7,2.41e-7,5.29e-7,5.26e-7,4.13e-7,4.68e-7
54.0,5.35e-7,5.39e-7,4.09e-7,4.02e-7,4.91e-7,2.59e-7,5.04e-7,4.49e-7,3.72e-7,3.76e-7,7.75e-7,4.57e-7,5.52e-7,4.96e-7,5.06e-7
55.0,4.64e-7,4.75e-7,4.52e-7,4.83e-7,4.92e-7,2.67e-7,2.55e-7,3.57e-7,4.83e-7,4.54e-7,1.028e-6,3.14e-7,3.9e-7,4.86e-7,4.89e-7
56.0,4.81e-7,4.61e-7,4.62e-7,2.69e-7,4.75e-7,2.82e-7,5.5e-7,5.77e-7,6.36e-7,5.36e-7,4.33e-7,4.9e-7,6.55e-7,4.96e-7,4.09e-7
57.0,5.23e-7,3.36e-7,4.1e-7,2.74e-7,4.39e-7,9.17e-7,5.47e-7,5.79e-7,3.07e-7,4.77e-7,3.09e-7,4.78e-7,5.36e-7,3.66e-7,5.17e-7
58.0,4.24e-7,4.5e-7,6.04e-7,3.65e-7,6.2e-7,3.48e-7,4.09e-7,5.65e-7,4.98e-7,3.73e-7,7.24e-7,5.27e-7,3.96e-7,3.56e-7,5.15e-7
59.0,5.87e-7,8.65e-7,4.78e-7,4.57e-7,4.72e-7,2.8e-7,4.51e-7,3.75e-7,6.87e-7,8.85e-7,3.11e-7,3.64e-7,4.58e-7,2.83e-7,3.83e-7
60.0,4.66e-7,5.11e-7,3.94e-7,4.65e-7,4.75e-7,4.43e-7,2.43e-7,4.01e-7,2.69e-7,5.14e-7,4.3e-7,4.36e-7,8.42e-7,5.34e-7,3.36e-7
